snapshot_id,pipeline,fenetre_debut,fenetre_fin,version_collecte,annonce_id,url,modele,annee,type_connexion,segment,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1921213,https://fr.getaround.com/location-voiture/paris/peugeot-208-1921213?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2026,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,75.0,,,,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1665727,https://fr.getaround.com/location-voiture/paris/renault-twingo-iii-1665727?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Twingo III,2019,Sur rendez-vous,MICRO_CITADINE,THERMIQUE,,,deduite,False,47.0,,4.91,33,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1690512,https://fr.getaround.com/location-voiture/boulogne-billancourt/peugeot-208-1690512?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2017,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,70.0,,4.88,8,Puteaux,Boulogne Billancourt,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1881858,https://fr.getaround.com/location-voiture/paris/peugeot-2008-1881858?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 2008,2026,GETAROUND CONNECT,SUV_COMPACT,THERMIQUE,,,deduite,False,109.0,,5.0,3,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1528491,https://fr.getaround.com/location-voiture/paris/citroen-c3-1528491?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Citroen C3,2024,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,84.0,,4.84,31,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1681926,https://fr.getaround.com/location-voiture/clichy/toyota-verso-1681926?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Toyota Verso,2014,Sur rendez-vous,NON_CLASSE,THERMIQUE,,,deduite,False,75.0,,,,Asnières-sur-Seine,Clichy,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1076638,https://fr.getaround.com/location-voiture/paris/renault-twingo-1076638?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Twingo,2014,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,54.0,,4.61,90,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1922053,https://fr.getaround.com/location-voiture/nanterre/renault-clio-estate-1922053?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio Estate,2013,Sur rendez-vous,BREAK,THERMIQUE,,,deduite,False,59.0,,5.0,2,Puteaux,Nanterre,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,828092,https://fr.getaround.com/location-voiture/boulogne-billancourt/toyota-yaris-hybride-828092?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Toyota Yaris Hybride,2021,GETAROUND CONNECT,CITADINE,HYBRIDE,,,deduite,False,69.0,,4.51,77,Puteaux,Boulogne Billancourt,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1574326,https://fr.getaround.com/location-voiture/paris/renault-clio-1574326?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Renault Clio,2021,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,53.0,,3.83,29,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1219241,https://fr.getaround.com/location-voiture/paris/peugeot-208-1219241?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 208,2023,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,75.0,,3.89,48,Asnières-sur-Seine,Paris,Asnières-sur-Seine
